MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,Gross
The Fate of the Furious,2017,"
Action, Adventure, Crime            ",6.6,"
    Director:
F. Gary Gray
| 
    Stars:
Vin Diesel, 
Jason Statham, 
Dwayne Johnson, 
Michelle Rodriguez
","215,795",136.0,226.01
Captain America: Civil War,2016,"
Action, Adventure, Sci-Fi            ",7.8,"
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan
","697,750",147.0,408.08
Sen to Chihiro no kamikakushi,2001,"
Animation, Adventure, Family            ",8.6,"
    Director:
Hayao Miyazaki
| 
    Stars:
Daveigh Chase, 
Suzanne Pleshette, 
Miyu Irino, 
Rumi Hiiragi
","682,809",125.0,10.06
The Girl in the Spider's Web,2018,"
Action, Crime, Drama            ",6.1,"
    Director:
Fede Alvarez
| 
    Stars:
Claire Foy, 
Beau Gadsdon, 
Sverrir Gudnason, 
LaKeith Stanfield
","43,896",115.0,14.84
Kong: Skull Island,2017,"
Action, Adventure, Fantasy            ",6.6,"
    Director:
Jordan Vogt-Roberts
| 
    Stars:
Tom Hiddleston, 
Samuel L. Jackson, 
Brie Larson, 
John C. Reilly
","294,292",118.0,168.05
The Revenant,2015,"
Action, Adventure, Drama            ",8.0,"
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson
","732,244",156.0,183.64
The Lord of the Rings: The Two Towers,2002,"
Action, Adventure, Drama            ",8.7,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom
","1,529,752",179.0,342.55
Legally Blonde,2001,"
Comedy, Romance            ",6.3,"
    Director:
Robert Luketic
| 
    Stars:
Reese Witherspoon, 
Luke Wilson, 
Selma Blair, 
Matthew Davis
","195,752",96.0,96.52
Ocean's Eight,2018,"
Action, Comedy, Crime            ",6.3,"
    Director:
Gary Ross
| 
    Stars:
Sandra Bullock, 
Cate Blanchett, 
Anne Hathaway, 
Mindy Kaling
","197,909",110.0,140.22
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"
Action, Adventure, Fantasy            ",6.5,"
    Directors:
Joachim Rønning, 
Espen Sandberg
| 
    Stars:
Johnny Depp, 
Geoffrey Rush, 
Javier Bardem, 
Orlando Bloom
","276,173",129.0,172.56
2001: A Space Odyssey,1968,"
Adventure, Sci-Fi            ",8.3,"
    Director:
Stanley Kubrick
| 
    Stars:
Keir Dullea, 
Gary Lockwood, 
William Sylvester, 
Daniel Richter
","622,998",149.0,56.95
Batman v Superman: Dawn of Justice,2016,"
Action, Adventure, Sci-Fi            ",6.4,"
    Director:
Zack Snyder
| 
    Stars:
Ben Affleck, 
Henry Cavill, 
Amy Adams, 
Jesse Eisenberg
","657,423",152.0,330.36
Mother!,2017,"
Drama, Horror, Mystery            ",6.6,"
    Director:
Darren Aronofsky
| 
    Stars:
Jennifer Lawrence, 
Javier Bardem, 
Ed Harris, 
Michelle Pfeiffer
","201,141",121.0,17.8
National Lampoon's Animal House,1978,"
Comedy            ",7.5,"
    Director:
John Landis
| 
    Stars:
John Belushi, 
Karen Allen, 
Tom Hulce, 
Stephen Furst
","115,289",109.0,0.2
Midnight in Paris,2011,"
Comedy, Fantasy, Romance            ",7.7,"
    Director:
Woody Allen
| 
    Stars:
Owen Wilson, 
Rachel McAdams, 
Kathy Bates, 
Kurt Fuller
","399,157",94.0,56.82
Kill Bill: Vol. 2,2004,"
Action, Crime, Thriller            ",8.0,"
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Michael Madsen, 
Daryl Hannah
","706,053",137.0,66.21
Moneyball,2011,"
Biography, Drama, Sport            ",7.6,"
    Director:
Bennett Miller
| 
    Stars:
Brad Pitt, 
Robin Wright, 
Jonah Hill, 
Philip Seymour Hoffman
","386,263",133.0,75.61
Snowpiercer,2013,"
Action, Drama, Sci-Fi            ",7.1,"
    Director:
Bong Joon Ho
| 
    Stars:
Chris Evans, 
Jamie Bell, 
Tilda Swinton, 
Ed Harris
","335,946",126.0,4.56
300: Rise of an Empire,2014,"
Action, Drama            ",6.2,"
    Director:
Noam Murro
| 
    Stars:
Sullivan Stapleton, 
Eva Green, 
Lena Headey, 
Hans Matheson
","286,734",102.0,106.58
Kimi no na wa.,2016,"
Animation, Drama, Fantasy            ",8.4,"
    Director:
Makoto Shinkai
| 
    Stars:
Ryûnosuke Kamiki, 
Mone Kamishiraishi, 
Ryô Narita, 
Aoi Yûki
","217,433",106.0,5.02
Booksmart,2019,"
Comedy            ",7.2,"
    Director:
Olivia Wilde
| 
    Stars:
Kaitlyn Dever, 
Beanie Feldstein, 
Jessica Williams, 
Jason Sudeikis
","103,143",102.0,22.68
Jaws 2,1978,"
Adventure, Horror, Thriller            ",5.8,"
    Director:
Jeannot Szwarc
| 
    Stars:
Roy Scheider, 
Lorraine Gary, 
Murray Hamilton, 
Joseph Mascolo
","73,931",116.0,102.92
Tropic Thunder,2008,"
Action, Comedy, War            ",7.0,"
    Director:
Ben Stiller
| 
    Stars:
Ben Stiller, 
Jack Black, 
Robert Downey Jr., 
Jeff Kahn
","391,033",107.0,110.52
Beauty and the Beast,2017,"
Family, Fantasy, Musical            ",7.1,"
    Director:
Bill Condon
| 
    Stars:
Emma Watson, 
Dan Stevens, 
Luke Evans, 
Josh Gad
","284,484",129.0,504.01
Hell or High Water,2016,"
Action, Crime, Drama            ",7.6,"
    Director:
David Mackenzie
| 
    Stars:
Chris Pine, 
Ben Foster, 
Jeff Bridges, 
Gil Birmingham
","211,816",102.0,26.86
Marriage Story,2019,"
Comedy, Drama, Romance            ",7.9,"
    Director:
Noah Baumbach
| 
    Stars:
Adam Driver, 
Scarlett Johansson, 
Julia Greer, 
Azhy Robertson
","266,307",137.0,2.0
Annihilation,2018,"
Adventure, Drama, Horror            ",6.8,"
    Director:
Alex Garland
| 
    Stars:
Natalie Portman, 
Jennifer Jason Leigh, 
Tessa Thompson, 
Benedict Wong
","293,459",115.0,32.73
Wind River,2017,"
Crime, Drama, Mystery            ",7.7,"
    Director:
Taylor Sheridan
| 
    Stars:
Elizabeth Olsen, 
Jeremy Renner, 
Graham Greene, 
Kelsey Asbille
","218,337",107.0,33.8
Frozen,2013,"
Animation, Adventure, Comedy            ",7.4,"
    Directors:
Chris Buck, 
Jennifer Lee
| 
    Stars:
Kristen Bell, 
Idina Menzel, 
Jonathan Groff, 
Josh Gad
","586,769",102.0,400.74
Lo imposible,2012,"
Drama, History, Thriller            ",7.6,"
    Director:
J.A. Bayona
| 
    Stars:
Naomi Watts, 
Ewan McGregor, 
Tom Holland, 
Oaklee Pendergast
","208,903",114.0,19.02
The Nice Guys,2016,"
Action, Comedy, Crime            ",7.4,"
    Director:
Shane Black
| 
    Stars:
Russell Crowe, 
Ryan Gosling, 
Angourie Rice, 
Matt Bomer
","295,435",116.0,36.26
The Snowman,2017,"
Crime, Drama, Thriller            ",5.1,"
    Director:
Tomas Alfredson
| 
    Stars:
Michael Fassbender, 
Rebecca Ferguson, 
Charlotte Gainsbourg, 
Jonas Karlsson
","60,354",119.0,6.67
Moonrise Kingdom,2012,"
Comedy, Drama, Romance            ",7.8,"
    Director:
Wes Anderson
| 
    Stars:
Jared Gilman, 
Kara Hayward, 
Bruce Willis, 
Bill Murray
","328,550",94.0,45.51
Contagion,2011,"
Drama, Thriller            ",6.7,"
    Director:
Steven Soderbergh
| 
    Stars:
Matt Damon, 
Kate Winslet, 
Jude Law, 
Gwyneth Paltrow
","290,444",106.0,75.66
This Is England,2006,"
Crime, Drama            ",7.7,"
    Director:
Shane Meadows
| 
    Stars:
Thomas Turgoose, 
Stephen Graham, 
Jo Hartley, 
Andrew Shim
","117,889",101.0,0.33
Willy Wonka & the Chocolate Factory,1971,"
Family, Fantasy, Musical            ",7.8,"
    Director:
Mel Stuart
| 
    Stars:
Gene Wilder, 
Jack Albertson, 
Peter Ostrum, 
Roy Kinnear
","186,202",100.0,4.0
Homefront,2013,"
Action, Crime, Thriller            ",6.5,"
    Director:
Gary Fleder
| 
    Stars:
Jason Statham, 
James Franco, 
Winona Ryder, 
Kate Bosworth
","113,476",100.0,20.16
Dead Poets Society,1989,"
Comedy, Drama            ",8.1,"
    Director:
Peter Weir
| 
    Stars:
Robin Williams, 
Robert Sean Leonard, 
Ethan Hawke, 
Josh Charles
","443,357",128.0,95.86
There's Something About Mary,1998,"
Comedy, Romance            ",7.1,"
    Directors:
Bobby Farrelly, 
Peter Farrelly
| 
    Stars:
Cameron Diaz, 
Matt Dillon, 
Ben Stiller, 
Lee Evans
","298,729",119.0,176.48
Lucy,2014,"
Action, Sci-Fi, Thriller            ",6.4,"
    Director:
Luc Besson
| 
    Stars:
Scarlett Johansson, 
Morgan Freeman, 
Choi Min-sik, 
Amr Waked
","462,122",89.0,126.66
The Mummy,2017,"
Action, Adventure, Fantasy            ",5.4,"
    Director:
Alex Kurtzman
| 
    Stars:
Tom Cruise, 
Sofia Boutella, 
Annabelle Wallis, 
Russell Crowe
","177,592",110.0,80.1
Birdman or (The Unexpected Virtue of Ignorance),2014,"
Comedy, Drama            ",7.7,"
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Michael Keaton, 
Zach Galifianakis, 
Edward Norton, 
Andrea Riseborough
","595,946",119.0,42.34
Knock Knock,2015,"
Drama, Thriller            ",4.9,"
    Director:
Eli Roth
| 
    Stars:
Keanu Reeves, 
Lorenza Izzo, 
Ana de Armas, 
Aaron Burns
","87,474",99.0,0.04
Hauru no ugoku shiro,2004,"
Animation, Adventure, Family            ",8.2,"
    Director:
Hayao Miyazaki
| 
    Stars:
Chieko Baishô, 
Takuya Kimura, 
Tatsuya Gashûin, 
Akihiro Miwa
","351,466",119.0,4.71
Now You See Me,2013,"
Crime, Mystery, Thriller            ",7.2,"
    Director:
Louis Leterrier
| 
    Stars:
Jesse Eisenberg, 
Common, 
Mark Ruffalo, 
Woody Harrelson
","614,056",115.0,117.72
The Lost World: Jurassic Park,1997,"
Action, Adventure, Sci-Fi            ",6.6,"
    Director:
Steven Spielberg
| 
    Stars:
Jeff Goldblum, 
Julianne Moore, 
Pete Postlethwaite, 
Vince Vaughn
","390,425",129.0,229.09
Geostorm,2017,"
Action, Sci-Fi, Thriller            ",5.3,"
    Director:
Dean Devlin
| 
    Stars:
Gerard Butler, 
Jim Sturgess, 
Abbie Cornish, 
Alexandra Maria Lara
","99,724",109.0,33.7
Sausage Party,2016,"
Animation, Adventure, Comedy            ",6.1,"
    Directors:
Greg Tiernan, 
Conrad Vernon
| 
    Stars:
Seth Rogen, 
Kristen Wiig, 
Jonah Hill, 
Alistair Abell
","181,775",89.0,97.69
The Next Three Days,2010,"
Action, Crime, Drama            ",7.3,"
    Director:
Paul Haggis
| 
    Stars:
Russell Crowe, 
Elizabeth Banks, 
Liam Neeson, 
Michael Buie
","189,815",133.0,21.15
Moonlight,2016,"
Drama            ",7.4,"
    Director:
Barry Jenkins
| 
    Stars:
Mahershala Ali, 
Naomie Harris, 
Trevante Rhodes, 
Alex R. Hibbert
","285,273",111.0,27.85
In the Heart of the Sea,2015,"
Action, Adventure, Biography            ",6.9,"
    Director:
Ron Howard
| 
    Stars:
Chris Hemsworth, 
Cillian Murphy, 
Brendan Gleeson, 
Ben Whishaw
","128,605",122.0,25.02
Contact,1997,"
Drama, Mystery, Sci-Fi            ",7.5,"
    Director:
Robert Zemeckis
| 
    Stars:
Jodie Foster, 
Matthew McConaughey, 
Tom Skerritt, 
John Hurt
","261,289",150.0,100.92
Climax,2018,"
Drama, Horror, Music            ",7.0,"
    Director:
Gaspar Noé
| 
    Stars:
Sofia Boutella, 
Romain Guillermic, 
Souheila Yacoub, 
Kiddy Smile
","58,051",97.0,0.8
Gods of Egypt,2016,"
Action, Adventure, Fantasy            ",5.4,"
    Director:
Alex Proyas
| 
    Stars:
Brenton Thwaites, 
Nikolaj Coster-Waldau, 
Gerard Butler, 
Chadwick Boseman
","109,959",127.0,31.15
Kung Fu Panda 3,2016,"
Animation, Action, Adventure            ",7.1,"
    Directors:
Alessandro Carloni, 
Jennifer Yuh Nelson
| 
    Stars:
Jack Black, 
Bryan Cranston, 
Dustin Hoffman, 
Angelina Jolie
","141,657",95.0,143.53
Ender's Game,2013,"
Action, Adventure, Fantasy            ",6.6,"
    Director:
Gavin Hood
| 
    Stars:
Harrison Ford, 
Asa Butterfield, 
Hailee Steinfeld, 
Abigail Breslin
","228,812",114.0,61.74
Planet of the Apes,1968,"
Adventure, Sci-Fi            ",8.0,"
    Director:
Franklin J. Schaffner
| 
    Stars:
Charlton Heston, 
Roddy McDowall, 
Kim Hunter, 
Maurice Evans
","170,681",112.0,33.4
Downsizing,2017,"
Drama, Fantasy, Sci-Fi            ",5.7,"
    Director:
Alexander Payne
| 
    Stars:
Matt Damon, 
Christoph Waltz, 
Hong Chau, 
Kristen Wiig
","102,222",135.0,24.45
Lone Survivor,2013,"
Action, Biography, Drama            ",7.5,"
    Director:
Peter Berg
| 
    Stars:
Mark Wahlberg, 
Taylor Kitsch, 
Emile Hirsch, 
Ben Foster
","273,061",121.0,125.1
The Founder,2016,"
Biography, Drama            ",7.2,"
    Director:
John Lee Hancock
| 
    Stars:
Michael Keaton, 
Nick Offerman, 
John Carroll Lynch, 
Linda Cardellini
","134,759",115.0,12.79
Mononoke-hime,1997,"
Animation, Action, Adventure            ",8.4,"
    Director:
Hayao Miyazaki
| 
    Stars:
Yôji Matsuda, 
Yuriko Ishida, 
Yûko Tanaka, 
Billy Crudup
","359,473",134.0,2.38
101 Dalmatians,1996,"
Adventure, Comedy, Crime            ",5.7,"
    Director:
Stephen Herek
| 
    Stars:
Glenn Close, 
Jeff Daniels, 
Joely Richardson, 
Joan Plowright
","106,580",103.0,136.19
Rampage,2018,"
Action, Adventure, Sci-Fi            ",6.1,"
    Director:
Brad Peyton
| 
    Stars:
Dwayne Johnson, 
Naomie Harris, 
Malin Akerman, 
Jeffrey Dean Morgan
","151,688",107.0,101.03
The Croods,2013,"
Animation, Adventure, Comedy            ",7.2,"
    Directors:
Kirk DeMicco, 
Chris Sanders
| 
    Stars:
Nicolas Cage, 
Ryan Reynolds, 
Emma Stone, 
Catherine Keener
","200,206",98.0,187.17
The Firm,1993,"
Drama, Mystery, Thriller            ",6.8,"
    Director:
Sydney Pollack
| 
    Stars:
Tom Cruise, 
Jeanne Tripplehorn, 
Gene Hackman, 
Hal Holbrook
","124,972",154.0,158.35
The Clovehitch Killer,2018,"
Crime, Drama, Mystery            ",6.6,"
    Director:
Duncan Skiles
| 
    Stars:
Dylan McDermott, 
Charlie Plummer, 
Samantha Mathis, 
Madisen Beaty
","21,572",109.0,0.01
Death Wish,2018,"
Action, Crime, Drama            ",6.3,"
    Director:
Eli Roth
| 
    Stars:
Bruce Willis, 
Vincent D'Onofrio, 
Elisabeth Shue, 
Camila Morrone
","68,094",107.0,34.02
The Blues Brothers,1980,"
Action, Adventure, Comedy            ",7.9,"
    Director:
John Landis
| 
    Stars:
John Belushi, 
Dan Aykroyd, 
Cab Calloway, 
John Candy
","188,459",133.0,57.23
Unknown,2011,"
Action, Mystery, Thriller            ",6.8,"
    Director:
Jaume Collet-Serra
| 
    Stars:
Liam Neeson, 
Diane Kruger, 
January Jones, 
Aidan Quinn
","253,999",113.0,63.69
Hunt for the Wilderpeople,2016,"
Adventure, Comedy, Drama            ",7.9,"
    Director:
Taika Waititi
| 
    Stars:
Sam Neill, 
Julian Dennison, 
Rima Te Wiata, 
Rachel House
","118,166",101.0,5.2
Monty Python and the Holy Grail,1975,"
Adventure, Comedy, Fantasy            ",8.2,"
    Directors:
Terry Gilliam, 
Terry Jones
| 
    Stars:
Graham Chapman, 
John Cleese, 
Eric Idle, 
Terry Gilliam
","513,289",91.0,1.23
The Best of Enemies,2019,"
Biography, Drama, History            ",7.2,"
    Director:
Robin Bissell
| 
    Stars:
Taraji P. Henson, 
Sam Rockwell, 
Babou Ceesay, 
Anne Heche
","13,196",133.0,10.21
Atomic Blonde,2017,"
Action, Thriller            ",6.7,"
    Director:
David Leitch
| 
    Stars:
Charlize Theron, 
James McAvoy, 
John Goodman, 
Eddie Marsan
","182,505",115.0,51.69
Rango,2011,"
Animation, Adventure, Comedy            ",7.2,"
    Director:
Gore Verbinski
| 
    Stars:
Johnny Depp, 
Isla Fisher, 
Timothy Olyphant, 
Abigail Breslin
","245,778",107.0,123.48
The Lucky One,2012,"
Drama, Mystery, Romance            ",6.5,"
    Director:
Scott Hicks
| 
    Stars:
Zac Efron, 
Taylor Schilling, 
Blythe Danner, 
Riley Thomas Stewart
","103,765",101.0,60.46
Spy Kids,2001,"
Action, Adventure, Comedy            ",5.5,"
    Director:
Robert Rodriguez
| 
    Stars:
Alexa PenaVega, 
Daryl Sabara, 
Antonio Banderas, 
Carla Gugino
","111,413",88.0,112.72
White House Down,2013,"
Action, Drama, Thriller            ",6.3,"
    Director:
Roland Emmerich
| 
    Stars:
Channing Tatum, 
Jamie Foxx, 
Maggie Gyllenhaal, 
Jason Clarke
","211,395",131.0,73.1
The Human Centipede (First Sequence),2009,"
Horror            ",4.4,"
    Director:
Tom Six
| 
    Stars:
Dieter Laser, 
Ashley C. Williams, 
Ashlynn Yennie, 
Akihiro Kitamura
","75,214",92.0,0.18
Cars 3,2017,"
Animation, Adventure, Comedy            ",6.7,"
    Director:
Brian Fee
| 
    Stars:
Owen Wilson, 
Cristela Alonzo, 
Chris Cooper, 
Nathan Fillion
","83,135",102.0,152.9
Southpaw,2015,"
Action, Crime, Drama            ",7.4,"
    Director:
Antoine Fuqua
| 
    Stars:
Jake Gyllenhaal, 
Rachel McAdams, 
Oona Laurence, 
Forest Whitaker
","223,775",124.0,52.42
The A-Team,2010,"
Action, Adventure, Thriller            ",6.7,"
    Director:
Joe Carnahan
| 
    Stars:
Liam Neeson, 
Bradley Cooper, 
Sharlto Copley, 
Jessica Biel
","250,321",117.0,77.22
This Means War,2012,"
Action, Comedy, Romance            ",6.3,"
    Director:
McG
| 
    Stars:
Reese Witherspoon, 
Chris Pine, 
Tom Hardy, 
Til Schweiger
","179,783",103.0,54.76
Shaft,2019,"
Action, Comedy, Crime            ",6.4,"
    Director:
Tim Story
| 
    Stars:
Samuel L. Jackson, 
Jessie T. Usher, 
Richard Roundtree, 
Regina Hall
","48,354",111.0,21.36
Lawrence of Arabia,1962,"
Adventure, Biography, Drama            ",8.3,"
    Director:
David Lean
| 
    Stars:
Peter O'Toole, 
Alec Guinness, 
Anthony Quinn, 
Jack Hawkins
","276,605",228.0,44.82
Mars Attacks!,1996,"
Comedy, Sci-Fi            ",6.3,"
    Director:
Tim Burton
| 
    Stars:
Jack Nicholson, 
Pierce Brosnan, 
Sarah Jessica Parker, 
Annette Bening
","215,049",106.0,37.77
Beauty and the Beast,1991,"
Animation, Family, Fantasy            ",8.0,"
    Directors:
Gary Trousdale, 
Kirk Wise
| 
    Stars:
Paige O'Hara, 
Robby Benson, 
Jesse Corti, 
Rex Everhart
","425,384",84.0,218.97
Finding Dory,2016,"
Animation, Adventure, Comedy            ",7.3,"
    Directors:
Andrew Stanton, 
Angus MacLane
| 
    Stars:
Ellen DeGeneres, 
Albert Brooks, 
Ed O'Neill, 
Kaitlin Olson
","250,953",97.0,486.3
Public Enemies,2009,"
Biography, Crime, Drama            ",7.0,"
    Director:
Michael Mann
| 
    Stars:
Christian Bale, 
Johnny Depp, 
Christian Stolte, 
Jason Clarke
","288,097",140.0,97.1
127 Hours,2010,"
Biography, Drama            ",7.5,"
    Director:
Danny Boyle
| 
    Stars:
James Franco, 
Amber Tamblyn, 
Kate Mara, 
Sean Bott
","357,144",94.0,18.34
Jurassic Park III,2001,"
Action, Adventure, Sci-Fi            ",5.9,"
    Director:
Joe Johnston
| 
    Stars:
Sam Neill, 
William H. Macy, 
Téa Leoni, 
Alessandro Nivola
","302,292",92.0,181.17
Revenge,2017,"
Action, Horror, Thriller            ",6.4,"
    Director:
Coralie Fargeat
| 
    Stars:
Matilda Anna Ingrid Lutz, 
Kevin Janssens, 
Vincent Colombe, 
Guillaume Bouchède
","39,034",108.0,0.1
Total Recall,2012,"
Action, Adventure, Sci-Fi            ",6.2,"
    Director:
Len Wiseman
| 
    Stars:
Colin Farrell, 
Bokeem Woodbine, 
Bryan Cranston, 
Kate Beckinsale
","244,708",118.0,58.88
Footloose,1984,"
Drama, Music, Romance            ",6.6,"
    Director:
Herbert Ross
| 
    Stars:
Kevin Bacon, 
Lori Singer, 
John Lithgow, 
Dianne Wiest
","73,935",107.0,80.04
Brooklyn,2015,"
Drama, Romance            ",7.5,"
    Director:
John Crowley
| 
    Stars:
Saoirse Ronan, 
Emory Cohen, 
Domhnall Gleeson, 
Jim Broadbent
","135,157",117.0,38.32
Child's Play,2019,"
Drama, Horror, Sci-Fi            ",5.7,"
    Director:
Lars Klevberg
| 
    Stars:
Tim Matheson, 
Ben Daon, 
Zahra Anderson, 
Serge Jaswal
","46,932",90.0,29.21
The Danish Girl,2015,"
Biography, Drama, Romance            ",7.1,"
    Director:
Tom Hooper
| 
    Stars:
Eddie Redmayne, 
Alicia Vikander, 
Amber Heard, 
Ben Whishaw
","171,124",119.0,11.11
The Bad Batch,2016,"
Action, Horror, Mystery            ",5.3,"
    Director:
Ana Lily Amirpour
| 
    Stars:
Suki Waterhouse, 
Jason Momoa, 
Jayda Fink, 
Keanu Reeves
","28,243",118.0,0.18
